user_id,result
49,"[5569471, 1027168, 1139782, 862349, 901067]"
52,"[1088393, 880427, 1116821, 879280, 1056740]"
53,"[5569471, 902238, 1105623, 964853, 906335]"
55,"[844165, 932006, 883932, 1106091, 977927]"
56,"[1056651, 940947, 6533608, 963835, 849202]"
57,"[879755, 1027168, 7409957, 1048563, 1000753]"
58,"[1054216, 916758, 1058997, 1093966, 1018818]"
59,"[1056509, 1095700, 957951, 1057260, 12810391]"
60,"[1094371, 950557, 1073150, 1098435, 5588817]"
63,"[7431408, 1040346, 1062572, 1125123, 874972]"
64,"[1111839, 976998, 1093413, 856060, 1013928]"
65,"[962229, 1011300, 1070820, 834103, 1095964]"
67,"[971922, 1104414, 7025114, 1139782, 1034176]"
68,"[1101010, 1075470, 1037894, 1080414, 1134483]"
69,"[1044188, 918733, 985119, 6979427, 982469]"
70,"[1039156, 5995692, 948420, 865891, 5586797]"
71,"[1056509, 1110764, 926905, 1091365, 1008288]"
72,"[5585510, 1028816, 862349, 9296919, 874972]"
73,"[1070820, 1085604, 7024847, 1088393, 1048257]"
74,"[5569374, 935284, 9913338, 1058021, 12731432]"
75,"[915617, 999090, 762311, 8119157, 6533765]"
76,"[854754, 915349, 1054080, 899682, 1111080]"
77,"[1126899, 6979128, 1055425, 819927, 866548]"
78,"[9573206, 9420312, 8205218, 1041476, 829291]"
79,"[1070015, 862349, 861445, 1053690, 1103513]"
80,"[1055504, 916767, 969866, 1023958, 1013928]"
81,"[845193, 898847, 844165, 1075470, 982469]"
82,"[1084036, 836445, 1119761, 1000753, 849202]"
83,"[1037332, 1033324, 1059902, 954102, 1048257]"
84,"[1080414, 862732, 829722, 5569374, 12731432]"
85,"[1021519, 1083446, 983936, 972312, 974156]"
86,"[865026, 1048462, 989824, 1091365, 969725]"
87,"[1008820, 6391089, 1044507, 8293385, 1048257]"
88,"[8090521, 929018, 1075368, 990440, 6533765]"
89,"[9296804, 852856, 9487769, 986947, 1048257]"
90,"[862535, 1070820, 6464166, 954673, 830608]"
91,"[1088147, 989275, 1056651, 989101, 1038663]"
92,"[895268, 871061, 6391089, 987838, 1048257]"
94,"[939636, 969866, 1005186, 992529, 12262830]"
95,"[922561, 908531, 6979427, 1018740, 1088771]"
97,"[1075368, 898847, 926905, 1046584, 1034176]"
98,"[1095040, 984715, 1077975, 1134522, 1013928]"
99,"[1073150, 970119, 824073, 916767, 948670]"
101,"[909894, 1090931, 1123106, 925626, 6533765]"
103,"[1089766, 1079228, 961846, 1076875, 908314]"
104,"[919534, 838186, 1011300, 996156, 906335]"
105,"[1059308, 1106301, 1135868, 847789, 848029]"
106,"[993466, 824546, 1127179, 8019977, 906844]"
108,"[912681, 903800, 962266, 968936, 1038663]"
109,"[989101, 1046756, 12731436, 1051516, 906844]"
110,"[885290, 1070015, 860975, 1082310, 841236]"
111,"[989101, 6633273, 932179, 9677874, 849202]"
112,"[1029504, 1039156, 1011300, 9527159, 849202]"
113,"[1070820, 909268, 854754, 947201, 933354]"
114,"[5568489, 875392, 885697, 989101, 948670]"
115,"[983584, 12648296, 1101010, 1003188, 984680]"
116,"[1013703, 860975, 1019637, 850058, 12810391]"
117,"[862349, 901062, 1089392, 1042702, 948670]"
118,"[1058997, 1083043, 825753, 1116821, 1048257]"
119,"[995478, 1002771, 1119399, 923670, 849202]"
120,"[1024306, 6904495, 1110843, 1068957, 9526884]"
121,"[989069, 1001148, 1033615, 1075470, 874972]"
122,"[940947, 6464147, 839849, 1102959, 848029]"
123,"[1056509, 866140, 1038985, 5569374, 849202]"
124,"[1077555, 833025, 1037840, 1039781, 858730]"
125,"[844165, 971922, 1107553, 8090532, 1057749]"
127,"[1075368, 865456, 13842214, 877447, 904129]"
128,"[1051516, 1098248, 1003188, 1045109, 850028]"
131,"[821083, 1098284, 1407216, 903230, 982469]"
132,"[1110572, 999198, 1058997, 825365, 1108094]"
133,"[5568228, 1003600, 1132771, 9242918, 1048257]"
135,"[862349, 959455, 926422, 861272, 842068]"
136,"[949965, 1056762, 8090539, 1029624, 1021164]"
138,"[1122358, 1108168, 819978, 1070820, 9419528]"
139,"[879755, 1023958, 1057102, 970792, 1021324]"
142,"[1082212, 873627, 1070015, 1093966, 948670]"
143,"[1043920, 962229, 1056651, 1053690, 5590765]"
144,"[879755, 925862, 901976, 910473, 829291]"
145,"[872137, 847789, 839849, 5568249, 1057749]"
147,"[877447, 981591, 860975, 908531, 12731432]"
148,"[1003487, 883003, 5568489, 13841744, 1069312]"
149,"[6533936, 913210, 896085, 959316, 1079913]"
151,"[963365, 1018050, 999581, 953561, 848029]"
152,"[1037332, 5569374, 993441, 823758, 1108094]"
153,"[819765, 1113792, 916767, 988824, 981677]"
154,"[1057260, 1102416, 1030362, 1074333, 12262830]"
155,"[979877, 1107973, 971922, 1015280, 849202]"
156,"[9526254, 1039156, 861445, 839147, 1038663]"
157,"[919589, 826144, 962229, 847207, 844462]"
158,"[862349, 12731714, 7025106, 1025641, 1100869]"
159,"[905539, 9420312, 8205218, 1021133, 6533765]"
160,"[1110843, 5580525, 1135834, 1070820, 904997]"
161,"[868764, 1051323, 1102959, 976998, 917384]"
162,"[1122358, 964521, 10456371, 1022428, 1034176]"
163,"[951727, 1026235, 944137, 867668, 848029]"
164,"[1075305, 963971, 968932, 972312, 6533765]"
165,"[8205218, 896613, 1070820, 944534, 948670]"
166,"[1039589, 933835, 944486, 9420312, 1052294]"
167,"[1072693, 1077143, 1009046, 962266, 1048257]"
171,"[987724, 998119, 834103, 892008, 829291]"
172,"[906838, 891632, 932298, 969568, 6533765]"
175,"[1065303, 1037451, 1058997, 1120085, 6533765]"
177,"[901666, 1059236, 10344585, 8203451, 906335]"
178,"[963686, 1056651, 972312, 1040807, 1054402]"
180,"[830503, 1037840, 8177622, 5587656, 1013928]"
182,"[1134522, 1037863, 962118, 1083787, 1134678]"
183,"[1028816, 961979, 1135681, 819840, 982469]"
184,"[896085, 1075368, 6533936, 824005, 874972]"
185,"[918733, 944534, 1085604, 822407, 6533765]"
188,"[1007191, 1025611, 1033615, 1127758, 917384]"
189,"[13841744, 999714, 996156, 9707498, 904129]"
191,"[1007082, 824073, 1036347, 1104349, 6533765]"
192,"[1082212, 9835509, 1002771, 819927, 1082627]"
193,"[944139, 8090537, 983584, 991592, 6533765]"
194,"[951412, 987838, 6391381, 1041259, 836445]"
195,"[1062128, 1048462, 821344, 899682, 1000753]"
196,"[926905, 910473, 1037840, 1101173, 6533765]"
197,"[1126899, 1036501, 9881593, 963835, 1065538]"
198,"[819765, 873627, 1085604, 1075368, 1000753]"
199,"[859237, 7409670, 948420, 1082212, 875804]"
200,"[1031083, 823990, 1037894, 935546, 1038663]"
201,"[1138292, 1116821, 1108168, 8205218, 904997]"
203,"[5569471, 927191, 1082990, 901776, 9526574]"
204,"[1070845, 1057102, 861445, 6034857, 948670]"
205,"[1026118, 910032, 1028816, 819840, 982469]"
206,"[999779, 953539, 926905, 982790, 5590965]"
207,"[976199, 951412, 1077048, 1138189, 899019]"
208,"[885290, 896938, 1055425, 854133, 956599]"
209,"[957951, 868764, 1056212, 860975, 6533765]"
210,"[879755, 1051323, 969866, 860975, 1013928]"
211,"[962229, 1006878, 972312, 841266, 6391152]"
212,"[6533362, 1095068, 1081189, 1062002, 849202]"
214,"[896444, 833724, 1049897, 905436, 917384]"
215,"[895540, 977545, 6391089, 916993, 948670]"
216,"[6533936, 895540, 910109, 984715, 974156]"
217,"[895930, 847207, 841266, 1101959, 1000753]"
218,"[894439, 13842088, 1097001, 1026118, 878715]"
219,"[862349, 5568447, 879528, 824005, 1004436]"
220,"[992986, 942778, 899682, 919589, 904129]"
221,"[1043751, 867188, 849843, 819978, 948670]"
222,"[999779, 1071759, 1105623, 5585510, 948670]"
223,"[897306, 864279, 879755, 874736, 904129]"
224,"[913278, 1139471, 1089021, 899459, 1038663]"
225,"[850601, 928049, 987122, 1110244, 874972]"
226,"[932503, 832678, 1102416, 1042942, 829291]"
227,"[1104224, 908531, 890695, 871722, 6533765]"
228,"[1139782, 1110142, 5569471, 890610, 906844]"
230,"[1107553, 913210, 820560, 6534030, 6533765]"
232,"[1016800, 949616, 861445, 937791, 6533765]"
233,"[1055283, 862535, 1122568, 992986, 833940]"
235,"[862732, 1070820, 1123434, 905087, 944018]"
236,"[906838, 1014948, 822677, 908489, 849202]"
237,"[916993, 971922, 881154, 833724, 6463949]"
238,"[1102416, 1067749, 868764, 989101, 948670]"
239,"[857849, 1051516, 870980, 1108168, 948670]"
240,"[1101589, 1073902, 926905, 1022428, 919766]"
242,"[1138487, 908504, 893501, 971922, 1065538]"
243,"[1126899, 1116821, 1117514, 906017, 1075007]"
244,"[1070015, 909894, 913210, 887691, 1000753]"
245,"[1061220, 1132771, 1023958, 972416, 12731517]"
246,"[1070820, 866140, 1048472, 978313, 874972]"
247,"[1077555, 1134292, 1056651, 895540, 1000753]"
248,"[862732, 1062002, 1516066, 946995, 1038663]"
249,"[1053690, 972931, 8205218, 828867, 1038663]"
250,"[923169, 947201, 1076875, 1110244, 849202]"
251,"[907631, 1075368, 1040807, 1132770, 874972]"
253,"[845193, 1033615, 969866, 1113588, 6533765]"
254,"[859237, 865511, 831536, 9573206, 6463903]"
255,"[1115576, 1047968, 1082212, 1006878, 7410346]"
256,"[862349, 913490, 10344585, 873627, 906844]"
257,"[1070015, 1093413, 1033615, 1127758, 1038663]"
258,"[1120741, 1065593, 862349, 860975, 1048257]"
259,"[1087605, 1062128, 881154, 832768, 1075007]"
260,"[921836, 821695, 1028816, 962229, 849202]"
261,"[823758, 892008, 989101, 992986, 12262778]"
262,"[1058997, 1008814, 1101010, 971922, 1013928]"
263,"[940947, 1101173, 12427353, 871754, 1000753]"
267,"[935393, 900610, 901976, 5569098, 6533765]"
269,"[1139782, 962229, 1131438, 969419, 5995129]"
271,"[986912, 1137775, 1124729, 8090532, 849202]"
273,"[834103, 6979579, 1053690, 1118533, 879734]"
275,"[849843, 1040346, 1050851, 822677, 6533765]"
276,"[1058930, 1051323, 1089766, 1001148, 12810391]"
277,"[922561, 910439, 841266, 917033, 1013928]"
278,"[1138292, 824005, 999971, 1070845, 917384]"
279,"[1070015, 994928, 1082212, 919534, 874972]"
280,"[12731544, 839849, 6602729, 999270, 1000753]"
281,"[1070820, 934369, 1018050, 999104, 12262830]"
282,"[1056651, 993441, 1037332, 862010, 909972]"
283,"[940947, 850841, 870780, 901776, 1108094]"
285,"[1107289, 878739, 877175, 6533368, 6533765]"
286,"[997309, 966684, 825541, 9553154, 1115069]"
287,"[1070015, 945200, 985119, 952317, 1069312]"
288,"[1005456, 1026118, 932179, 928092, 919766]"
289,"[945662, 864279, 948420, 1137688, 1048257]"
290,"[962229, 1108168, 831536, 922561, 1013928]"
291,"[1039589, 1088835, 1113588, 1033615, 6533765]"
292,"[864335, 8090509, 1043920, 9420312, 1013928]"
293,"[9553382, 911622, 1034686, 824005, 1038663]"
294,"[983584, 1050851, 873627, 905087, 874972]"
297,"[844165, 879755, 1075368, 1110764, 874972]"
300,"[944534, 1035207, 835618, 12301839, 874972]"
301,"[5565322, 898510, 1094924, 5582712, 874972]"
302,"[1027168, 892531, 941741, 1102959, 982469]"
303,"[895930, 1040807, 8090509, 985911, 1034176]"
304,"[868764, 1100658, 1107553, 6979753, 904129]"
305,"[1139184, 943233, 885290, 8090532, 1034176]"
306,"[1037863, 1050229, 1056509, 5569374, 13213240]"
307,"[1074040, 877447, 916767, 819765, 986596]"
308,"[1043787, 887102, 963835, 1134810, 887474]"
311,"[1063207, 1036139, 1091365, 944137, 1110111]"
314,"[820486, 1107089, 1058997, 872137, 882308]"
316,"[885290, 1122358, 841228, 1025611, 6533765]"
317,"[983584, 913278, 1082212, 1135834, 1000753]"
318,"[962229, 951102, 1001148, 995230, 1021324]"
319,"[990797, 1012816, 1019247, 976199, 982469]"
320,"[8090539, 1072523, 930603, 1078346, 959737]"
321,"[944836, 5580166, 905436, 1056509, 1048257]"
322,"[12263788, 862349, 1119051, 8090556, 904997]"
324,"[1070820, 901062, 1057260, 1051468, 1048257]"
325,"[922907, 983078, 983936, 893501, 1048257]"
326,"[10150194, 937626, 1137346, 874736, 1013928]"
328,"[885290, 1070820, 1092303, 892531, 1048257]"
329,"[901062, 876548, 1081189, 866871, 948670]"
331,"[1044188, 9835509, 983659, 833724, 887474]"
332,"[5569374, 861445, 862349, 13842214, 970747]"
334,"[826144, 860975, 861445, 870780, 948670]"
335,"[1018588, 1088540, 1075368, 1043006, 9677366]"
338,"[1028816, 1051516, 882441, 939636, 1082627]"
339,"[1082172, 8205218, 896085, 988693, 12731432]"
341,"[6391089, 905235, 1874568, 13115493, 955258]"
342,"[832678, 989069, 970792, 1082212, 1000753]"
343,"[1134398, 1081189, 1092588, 6979427, 917384]"
345,"[6602697, 1124507, 1002558, 855356, 833940]"
346,"[1101010, 819978, 905087, 1083446, 962615]"
347,"[1110409, 944486, 823775, 910473, 1082627]"
348,"[903230, 1033615, 1107553, 1127758, 6533765]"
349,"[1043751, 945273, 1126899, 1011300, 1000753]"
350,"[1110244, 944137, 834103, 1091365, 12810464]"
351,"[894439, 865456, 892573, 838186, 8020166]"
353,"[839656, 944139, 1119051, 1022254, 970866]"
354,"[1050851, 868075, 1101010, 971922, 849202]"
356,"[1049735, 997025, 916767, 1113588, 5590765]"
357,"[1126899, 1124507, 1071277, 1138487, 981677]"
358,"[5568489, 872137, 1110572, 873627, 981677]"
360,"[903931, 1085476, 1073150, 863802, 904129]"
361,"[1101010, 1082212, 1057260, 1077555, 874972]"
362,"[889649, 891141, 1126045, 919589, 919766]"
364,"[1001148, 1092026, 850102, 890610, 917384]"
365,"[1132771, 1107553, 1062128, 955275, 1000753]"
367,"[839849, 1070820, 877447, 917033, 9524291]"
368,"[5568721, 998444, 1037840, 6534077, 848029]"
371,"[971922, 1116821, 1137688, 957736, 1054402]"
374,"[1015296, 901062, 879755, 993638, 1108094]"
375,"[1029504, 1132280, 8090532, 1027835, 12810391]"
376,"[959409, 993638, 1026346, 1076875, 873324]"
377,"[1126899, 1082212, 1042702, 6979160, 970747]"
378,"[1005186, 8119093, 916990, 860975, 848783]"
380,"[1098284, 986760, 1135834, 845193, 1013928]"
381,"[1075368, 1120741, 1128016, 1071939, 1061228]"
382,"[1077143, 1124674, 999250, 985893, 1069312]"
384,"[1055504, 1061394, 1018670, 999090, 1065538]"
385,"[1087102, 1124971, 1057260, 986760, 878715]"
386,"[918733, 845193, 839094, 977499, 6533765]"
387,"[1126899, 1009719, 8090536, 1046756, 860248]"
388,"[839849, 849843, 1031864, 6463775, 1038663]"
389,"[1126899, 916993, 1122358, 1042702, 887474]"
390,"[1072693, 993638, 888543, 894439, 874972]"
392,"[12263788, 963835, 907099, 1094924, 12262830]"
393,"[972312, 999971, 1042702, 961846, 1013928]"
394,"[1063207, 885290, 6391381, 986912, 948670]"
395,"[1104604, 957951, 1120741, 825541, 906844]"
396,"[1075368, 1061982, 834103, 1009449, 866548]"
397,"[1126899, 1107973, 1043787, 932503, 919766]"
398,"[7409957, 907662, 1092026, 1127624, 1129049]"
399,"[883932, 957951, 999714, 896862, 849202]"
400,"[8090536, 963835, 1057260, 907099, 906844]"
401,"[895540, 827683, 1127758, 985119, 9835223]"
402,"[1006483, 926422, 892573, 824005, 849202]"
403,"[1130375, 871061, 944534, 880150, 874972]"
404,"[1092588, 1110142, 832001, 951412, 948239]"
405,"[1101010, 962118, 1039156, 962229, 948670]"
406,"[1070015, 1057102, 5578547, 1020682, 938138]"
408,"[903800, 965842, 862799, 1075470, 1065538]"
409,"[1070820, 856345, 8090513, 1112473, 1108094]"
410,"[909894, 1125382, 1082310, 871611, 6919087]"
411,"[1011300, 1092937, 5569374, 1046689, 9831557]"
412,"[849098, 986912, 860975, 1007136, 6533765]"
413,"[1009449, 860975, 986912, 1064892, 1048257]"
414,"[872066, 985119, 1082212, 940947, 6533765]"
415,"[1062572, 911812, 1090884, 970119, 864893]"
417,"[1055504, 895268, 5578547, 8205218, 1129049]"
418,"[12263788, 1003188, 971922, 1135834, 901067]"
419,"[860975, 933835, 1071759, 1102416, 899019]"
420,"[865705, 889551, 1059902, 918733, 982469]"
421,"[862349, 1110572, 1031864, 1088191, 849202]"
424,"[6533936, 953180, 833724, 1040807, 849202]"
425,"[843464, 969419, 877447, 1031083, 904129]"
426,"[899682, 1011926, 954642, 1130111, 968072]"
427,"[989101, 993638, 1056651, 1009449, 948670]"
430,"[1070845, 1042571, 1006483, 6391349, 1048257]"
431,"[1092937, 913210, 1070820, 993638, 10198378]"
432,"[882441, 1089766, 1041476, 1030093, 1013928]"
433,"[849003, 1009449, 1056651, 825541, 943320]"
434,"[1039781, 934639, 1081189, 1132770, 961730]"
435,"[8090532, 898847, 1053690, 1117514, 1021324]"
436,"[998444, 902172, 934399, 1046689, 974156]"
437,"[917033, 993638, 1101010, 12263788, 1052294]"
438,"[9881593, 873902, 1070820, 947798, 968072]"
439,"[1033142, 1116821, 1037840, 819840, 874972]"
441,"[9707137, 1075313, 1019247, 6602697, 906844]"
442,"[7167853, 986394, 1073150, 1057260, 849202]"
443,"[1057260, 6602729, 6533362, 982393, 848029]"
445,"[1137346, 908531, 1126899, 8090521, 829291]"
446,"[1044188, 979057, 954966, 1136719, 972969]"
447,"[937626, 1092937, 1057260, 926905, 12808385]"
448,"[1128016, 1080414, 7166861, 1132771, 899019]"
449,"[1078763, 8090536, 1048462, 909396, 1034176]"
450,"[13842214, 905539, 1038217, 8015407, 863762]"
451,"[934639, 925862, 1109014, 1026118, 849202]"
452,"[905539, 1100658, 935284, 1005609, 1008736]"
454,"[1023958, 5569230, 1130777, 1083787, 1021324]"
456,"[8090536, 947068, 862349, 869577, 1108094]"
457,"[820122, 985119, 865330, 1132770, 6533765]"
458,"[849843, 916993, 1023958, 910439, 12810391]"
459,"[12262832, 1039682, 972312, 1077555, 863762]"
460,"[988824, 873887, 993466, 935342, 1004054]"
461,"[1050851, 980657, 1019744, 867667, 12262778]"
462,"[1011926, 1137775, 1024306, 1106073, 1000753]"
463,"[1051516, 857006, 1070015, 1055504, 948670]"
464,"[5569374, 865511, 841266, 856772, 9419528]"
466,"[1112473, 1072523, 1025611, 918368, 12810464]"
467,"[6979089, 879755, 848071, 1113588, 878715]"
468,"[928049, 866140, 1026346, 8119303, 1118946]"
469,"[932006, 1098248, 951412, 9677202, 849202]"
470,"[970619, 935284, 840601, 1113588, 908314]"
471,"[1029272, 6633342, 1119405, 909894, 1075007]"
472,"[871754, 944466, 12263788, 10149640, 1021164]"
473,"[1053016, 838186, 1056509, 1038985, 970866]"
474,"[1001148, 1088683, 1092026, 968057, 12262978]"
475,"[972665, 987724, 1075368, 907392, 968072]"
476,"[7442008, 6034577, 1139525, 1137346, 836090]"
477,"[908531, 981521, 1126899, 849843, 12731432]"
479,"[1085604, 1057260, 1037840, 861445, 864893]"
480,"[854754, 1047769, 1009449, 1051516, 833940]"
481,"[986760, 5573314, 1007269, 1075368, 1034176]"
482,"[844165, 5585510, 910673, 879755, 6533765]"
483,"[1011300, 1107289, 1118533, 8090536, 9835223]"
484,"[1110843, 1117514, 1027874, 1050851, 1118946]"
485,"[845193, 910151, 12263788, 909638, 12810391]"
486,"[1092937, 1051323, 108646, 5591154, 904129]"
487,"[912112, 1092264, 983078, 904236, 12484491]"
488,"[943393, 901062, 1026118, 819840, 836445]"
489,"[1019247, 1022254, 7025106, 858743, 942077]"
490,"[944317, 941741, 5569845, 925626, 1108094]"
491,"[6533936, 1011926, 1126899, 1046839, 12525270]"
493,"[8090539, 911812, 1085604, 1120362, 849202]"
495,"[1024032, 882190, 1091365, 1056509, 12810391]"
496,"[823990, 912681, 999270, 1108168, 836445]"
497,"[8276172, 909638, 9707137, 1012913, 906844]"
498,"[1129671, 947201, 1028891, 1058686, 1061228]"
501,"[878222, 1065380, 932949, 952254, 899019]"
502,"[1135868, 1068292, 1070015, 1033615, 874972]"
503,"[1073150, 1070820, 1072693, 959985, 1020208]"
505,"[7441498, 1127716, 1073150, 1010190, 874972]"
506,"[861272, 827570, 1081189, 925626, 921438]"
507,"[6773215, 9337581, 1036501, 1127716, 919766]"
510,"[1036501, 901062, 1073150, 833724, 1034176]"
511,"[879755, 1110572, 1071171, 983584, 6533765]"
512,"[1108168, 971474, 929668, 999270, 917384]"
513,"[865026, 1018740, 1011300, 1132771, 1034176]"
514,"[923169, 909714, 986947, 1126786, 7410217]"
515,"[927191, 1040842, 1012873, 8090521, 1034176]"
517,"[1126899, 1062128, 1003600, 872137, 878715]"
518,"[860975, 1090676, 862732, 1031316, 12810391]"
519,"[1039156, 865705, 1077975, 962266, 1079913]"
520,"[823758, 1104343, 895540, 1048462, 956599]"
521,"[8090440, 981521, 1056212, 855672, 970747]"
523,"[1057260, 1110572, 1005186, 905087, 968072]"
524,"[1037863, 1098248, 1051516, 895268, 1118623]"
525,"[913490, 1104343, 824305, 1101010, 904997]"
526,"[1101173, 1123792, 1062128, 1081189, 1021324]"
527,"[1094924, 1131321, 1046584, 1101010, 948670]"
528,"[5585510, 1139782, 866871, 907099, 1048257]"
530,"[839656, 1096317, 1009449, 1124729, 906844]"
532,"[1064892, 850102, 962274, 850058, 849202]"
534,"[841228, 926422, 1113588, 927191, 6533765]"
536,"[944317, 5568378, 965982, 888054, 6533765]"
537,"[1116635, 1098435, 1057260, 1072523, 1065538]"
538,"[906838, 985386, 1082212, 1129671, 867447]"
539,"[860975, 1058997, 856252, 989935, 878715]"
540,"[1000237, 993441, 6391381, 9297474, 1118623]"
541,"[1079023, 1101173, 1060408, 936594, 6533765]"
542,"[1082990, 849843, 844165, 1050851, 6533765]"
543,"[7443013, 1113588, 1116770, 844165, 879734]"
544,"[1110572, 1011578, 1085604, 841228, 1118623]"
545,"[1119051, 1070076, 1040807, 1100972, 969725]"
548,"[824073, 885406, 1094924, 1098435, 849202]"
550,"[835098, 917438, 1126808, 1130716, 970152]"
551,"[1022254, 1070702, 1011926, 1041259, 12810391]"
553,"[1036501, 1075368, 1037332, 967395, 849202]"
554,"[1135681, 867188, 850102, 824180, 982469]"
557,"[905436, 879280, 819330, 5569471, 921438]"
558,"[1048462, 883932, 870547, 10149640, 1134678]"
560,"[861272, 1104414, 999104, 5568228, 1103808]"
561,"[909268, 1105623, 932179, 944137, 1000753]"
562,"[8090536, 989101, 957951, 832678, 1115069]"
564,"[948420, 824005, 1110843, 1039156, 1129049]"
567,"[1070015, 986912, 1076875, 993638, 6533765]"
568,"[985119, 1083787, 1001148, 947798, 1038663]"
569,"[1028473, 8293385, 1062128, 6391080, 981677]"
570,"[1112766, 1069621, 1007512, 12810391, 874972]"
573,"[8090521, 1028891, 1082212, 1098284, 9831557]"
574,"[891505, 945662, 914754, 1096317, 5568152]"
575,"[1049735, 1000237, 953561, 9571047, 1108094]"
577,"[1056509, 868548, 1110244, 1095040, 970747]"
578,"[1012284, 13008321, 1119051, 1006483, 1129049]"
579,"[1052912, 1016800, 1091365, 879755, 948670]"
580,"[1056509, 821787, 909894, 9337581, 1118946]"
581,"[874736, 8177622, 1042942, 928049, 849202]"
582,"[862349, 845715, 874149, 5568489, 1021324]"
583,"[1037840, 7409670, 1120741, 1013928, 1021324]"
585,"[5568072, 989935, 1036501, 1073150, 878715]"
586,"[980666, 1092026, 901543, 982469, 906335]"
587,"[983078, 945662, 863449, 885290, 1000753]"
588,"[1070015, 1053690, 1056746, 895540, 1004436]"
590,"[1031083, 1102845, 1053690, 1065593, 1139216]"
591,"[895930, 1092026, 926905, 935126, 1065017]"
592,"[1070820, 921744, 1092937, 1092446, 1108094]"
593,"[921288, 853998, 5592931, 879504, 870452]"
594,"[1131344, 896085, 8090537, 1085604, 1013928]"
595,"[922561, 1014948, 1107553, 1036139, 850028]"
596,"[8090537, 1025581, 9527159, 1119761, 879734]"
597,"[1025611, 918733, 1106301, 1127758, 6533765]"
598,"[9553382, 12731544, 8090532, 1105917, 6533765]"
599,"[1083721, 833724, 902192, 1046262, 874972]"
600,"[912681, 1104349, 991592, 5569845, 1021324]"
601,"[1126899, 916990, 1037332, 895070, 829291]"
602,"[1014948, 10456371, 874736, 1021116, 833940]"
603,"[1059308, 1114597, 1070015, 865330, 836445]"
604,"[5569374, 914577, 893739, 1104604, 1007279]"
605,"[965772, 1003600, 872729, 890695, 948670]"
606,"[970160, 5568721, 1018050, 987838, 1021324]"
608,"[1039156, 9655528, 1038462, 985119, 1013928]"
609,"[1110572, 1053690, 1107553, 949616, 1021324]"
610,"[1132770, 982790, 850044, 1128647, 1102139]"
611,"[8177622, 7409663, 861445, 1128900, 12757425]"
612,"[943233, 1065593, 850102, 873627, 826666]"
614,"[5565925, 1062002, 1082212, 889618, 12262830]"
615,"[883003, 13008334, 971922, 12731544, 948670]"
617,"[10345155, 1126899, 878026, 970119, 1000753]"
618,"[959409, 1085604, 1037840, 986912, 6533765]"
621,"[1112825, 977268, 893501, 1132771, 12262830]"
622,"[980666, 844165, 986912, 999104, 1038663]"
623,"[999971, 860975, 1101010, 1082310, 970152]"
624,"[1062966, 1001148, 1082310, 1101173, 12810391]"
625,"[6602697, 8203451, 933835, 1098248, 899019]"
627,"[986947, 12263788, 954642, 1110409, 970747]"
628,"[1082212, 1062002, 1037840, 921504, 9831557]"
630,"[862349, 6464147, 855672, 1052912, 1000753]"
631,"[899682, 1043035, 878445, 9913338, 974156]"
632,"[1082212, 894968, 1057260, 1077143, 849202]"
633,"[9677202, 12302069, 8119303, 7409957, 833940]"
635,"[1037863, 1082141, 970160, 901666, 1048257]"
636,"[912681, 1051516, 5590613, 927191, 12810391]"
637,"[926905, 1005609, 1114811, 1135681, 1013928]"
